K,unsatisfied,payoffs,TotalBM,GreenPatches,beta.i,k.i,numLoggers,numCheaters
6.077,22,-47.13530327,977,252,0.49953194,9.923794712,643,4
6.077,14,-47.64465409,1045.5,256,0.49860564,9.863207547,636,7
6.077,11,-47.38686709,1029,258,0.4986064,9.844936709,632,4
6.077,13,-47.35214626,1105,275,0.49803837,9.853736089,629,3
6.077,20,-47.12121212,976,259,0.49716254,9.901116427,627,2
6.077,14,-47.45272436,1158,290,0.49668446,9.905448718,624,3
6.077,15,-47.0668277,1156,290,0.49673094,9.948470209,621,3
6.077,14,-46.93719413,1154,290,0.49507595,9.843393148,613,8
6.077,10,-46.91816694,1043.5,252,0.49551498,9.803600655,611,2
6.077,9,-47.29720854,1069,266,0.495852,9.801313629,609,2
6.077,12,-47.21369637,1053.5,268,0.49483141,9.792079208,606,3
6.077,22,-47.25289256,1068,264,0.49407157,9.890909091,605,1
6.077,17,-47.15609349,1024.5,263,0.49513307,9.864774624,599,6
6.077,21,-47.20622896,1005.5,254,0.49427772,9.907407407,594,5
6.077,18,-47.32881356,1040,252,0.49383966,9.938983051,590,4
6.077,12,-47.25853242,1014.5,252,0.49496487,9.906143345,586,4
6.077,18,-47.20876289,1051,263,0.49470842,9.943298969,582,4
6.077,11,-47.09568966,1038.5,262,0.4946154,9.922413793,580,2
6.077,12,-47.11933798,1107,276,0.49294506,9.8728223,574,6
6.077,11,-46.91652021,1087,270,0.49145135,9.820738137,569,5
6.077,17,-46.91061947,968.5,254,0.49073927,9.861946903,565,4
6.077,14,-47.18482143,1135.5,283,0.49164135,9.832142857,560,5
6.077,11,-46.78417266,1066,266,0.49149549,9.830935252,556,4
6.077,13,-46.91787004,1171,304,0.49203564,9.864620939,554,2
6.077,19,-46.57727273,1223.5,297,0.49138075,9.909090909,550,5
6.077,14,-46.57628676,1252,309,0.49127274,9.884191176,544,6
6.077,17,-46.2962963,1188,299,0.49023951,9.909259259,540,4
6.077,15,-46.37802607,1073,267,0.48948946,9.901303538,537,3
6.077,12,-46.85459662,1081.5,270,0.48886226,9.876172608,533,4
6.077,14,-46.79433962,979,242,0.48803562,9.88490566,530,3
6.077,15,-47.01149425,929.5,237,0.48568666,9.75862069,522,8
6.077,12,-47.09961315,1114.5,284,0.48537528,9.750483559,517,5
6.077,7,-46.53294574,1160.5,286,0.48486043,9.753875969,516,1
6.077,12,-46.50584795,1083.5,267,0.48438118,9.787524366,513,3
6.077,11,-46.70254403,1116.5,273,0.48449921,9.808219178,511,2
6.077,11,-46.4418146,1063.5,272,0.48363991,9.794871795,507,4
6.077,13,-46.66501976,1127.5,288,0.48272746,9.826086957,506,1
6.077,11,-46.40693069,1063.5,261,0.48315791,9.861386139,505,1
6.077,11,-46.69721116,1090,269,0.48264228,9.878486056,502,3
6.077,12,-46.65430862,1010.5,249,0.481783,9.865731463,499,3
6.077,13,-46.81589537,1035,261,0.48209516,9.889336016,497,2
6.077,13,-46.69878296,1157,293,0.48183293,9.862068966,493,4
6.077,14,-46.1605317,1040.5,272,0.4800139,9.873210634,489,4
6.077,12,-46.53608247,1166,284,0.48106449,9.859793814,485,4
6.077,15,-46.21991701,1052.5,259,0.48272621,9.906639004,482,3
6.077,14,-46.54916318,1027.5,255,0.48112545,9.849372385,478,4
6.077,11,-46.51054852,1108,280,0.4815099,9.900843882,474,4
6.077,11,-46.18565401,962,244,0.4817757,9.930379747,474,0
6.077,12,-46.63241525,998,262,0.4811336,9.961864407,472,2
6.077,15,-46.41382979,942,228,0.47927849,9.995744681,470,2
6.077,9,-46.87875536,972,251,0.47921905,9.967811159,466,4
6.077,10,-46.58333333,1078.5,274,0.4778794,9.943722944,462,4
6.077,17,-46.23420479,1096,272,0.47489821,9.94335512,459,3
6.077,15,-46.11978022,1161.5,284,0.47388166,9.96043956,455,4
6.077,9,-45.93652561,1050,259,0.47333177,9.826280624,449,6
6.077,8,-46.34187082,1057.5,271,0.47374715,9.864142539,449,0
6.077,18,-46.10402685,1087,273,0.47432179,9.939597315,447,2
6.077,18,-46.09297052,999,246,0.47035737,9.922902494,441,6
6.077,9,-46.48275862,1063,269,0.47091578,9.845977011,435,6
6.077,11,-46.09375,1082,272,0.47174591,9.819444444,432,3
6.077,8,-45.97086247,1062,272,0.4712264,9.75990676,429,3
6.077,19,-46.02470588,1173.5,284,0.47051737,9.769411765,425,4
6.077,10,-45.73104265,1183,294,0.46893319,9.713270142,422,4
6.077,11,-45.42142857,1199,293,0.46763894,9.726190476,420,2
6.077,13,-45.48918269,1043.5,264,0.46610912,9.757211538,416,4
6.077,8,-45.97560976,1143.5,286,0.46528139,9.673170732,410,6
6.077,15,-45.57142857,1103.5,277,0.46379363,9.628078818,406,4
6.077,10,-45.6775,1136.5,281,0.46507398,9.495,400,6
6.077,11,-45.4395466,1044,264,0.46377819,9.468513854,397,3
6.077,19,-45.77088608,1062.5,268,0.46371946,9.597468354,395,2
6.077,13,-45.68239796,1174.5,294,0.4629138,9.607142857,392,3
6.077,14,-45.24481865,1205,297,0.45944266,9.554404145,386,6
6.077,18,-44.94516971,1063,269,0.46002402,9.597911227,383,3
6.077,10,-45.52110818,988.5,243,0.45817137,9.501319261,379,4
6.077,9,-45.91292876,1070,271,0.45561729,9.55408971,379,0
6.077,11,-45.42592593,1078,273,0.45353456,9.64021164,378,1
6.077,9,-45.49865591,1092.5,259,0.44838075,9.551075269,372,6
6.077,15,-45.29700272,948.5,256,0.44890969,9.479564033,367,5
6.077,11,-45.72451791,1140.5,279,0.44438507,9.432506887,363,4
6.077,6,-45.00972222,1147,284,0.44411798,9.325,360,3
6.077,12,-44.91899441,1098,271,0.44522583,9.365921788,358,2
6.077,13,-45.27259887,1138.5,279,0.44134652,9.305084746,354,4
6.077,8,-45.05698006,1109.5,278,0.44364723,9.253561254,351,3
6.077,11,-44.96974063,1005.5,255,0.44317191,9.187319885,347,4
6.077,8,-45.35652174,1068.5,260,0.44211761,9.171014493,345,2
6.077,7,-45.05994152,1036,265,0.44024716,9.055555556,342,3
6.077,9,-45.30263158,1037.5,263,0.44124295,9.081871345,342,0
6.077,8,-45.23451327,1101.5,267,0.43976206,9.041297935,339,3
6.077,5,-44.95400593,986,257,0.43864617,8.991097923,337,2
6.077,13,-45.27596439,1138.5,285,0.43771884,9.03264095,337,0
6.077,13,-44.59850746,1033.5,250,0.43556731,9.026865672,335,2
6.077,8,-45.14071856,940,232,0.43517454,9.080838323,334,1
6.077,15,-45.51047904,950.5,242,0.43477833,9.230538922,334,0
6.077,5,-45.47272727,1069,265,0.43002293,9.106060606,330,4
6.077,7,-44.86474164,1141,276,0.43283334,9.14893617,329,1
6.077,13,-44.64831804,1171.5,283,0.43184273,9.177370031,327,2
6.077,15,-44.37846154,1036,253,0.43408369,9.150769231,325,2
6.077,13,-44.97213622,1013.5,254,0.43507657,9.20123839,323,2
6.077,10,-44.92789969,1053.5,261,0.43745256,9.12539185,319,4
6.077,8,-44.81446541,1004,254,0.43595637,9.157232704,318,1
6.077,12,-44.87658228,1032.5,256,0.43442198,9.174050633,316,2
6.077,10,-44.89649682,1031,250,0.43191595,9.175159236,314,2
6.077,21,-44.94070513,1104.5,272,0.43270131,9.237179487,312,2
6.077,7,-44.44967532,1084.5,269,0.43380031,9.149350649,308,4
6.077,12,-44.43322476,1158.5,290,0.43359192,9.263843648,307,1
6.077,11,-43.83717105,1090,266,0.43464518,9.240131579,304,3
6.077,11,-44.20833333,1224.5,303,0.43547883,9.19,300,4
6.077,15,-43.59364548,1117.5,267,0.43418203,9.257525084,299,1
6.077,22,-44.13636364,1024.5,269,0.43379744,9.373737374,297,2
6.077,10,-44.30612245,1132.5,281,0.43244456,9.394557823,294,3
6.077,9,-43.95689655,1106,276,0.42912571,9.334482759,290,4
6.077,8,-43.95438596,1139.5,278,0.42744877,9.2,285,5
6.077,17,-43.85739437,1085.5,270,0.42462072,9.295774648,284,1
6.077,14,-44.06007067,1147,277,0.42247762,9.455830389,283,1
6.077,8,-43.60791367,1091.5,276,0.42186036,9.381294964,278,5
6.077,7,-43.81272727,1163,281,0.4237041,9.338181818,275,3
6.077,12,-43.38051471,1205,294,0.42184297,9.301470588,272,3
6.077,9,-43.25185185,1158.5,277,0.42298302,9.262962963,270,2
6.077,11,-43.44237918,1159.5,292,0.41983264,9.31598513,269,1
6.077,11,-43.22097378,1175,288,0.42002961,9.325842697,267,2
6.077,15,-43.26235741,1156,277,0.42203956,9.231939163,263,4
6.077,14,-43.15769231,1121.5,270,0.42449473,9.311538462,260,3
6.077,15,-43.32101167,1108,275,0.4234879,9.338521401,257,3
6.077,7,-43.28627451,1289.5,316,0.4254245,9.231372549,255,2
6.077,9,-42.36811024,1215,282,0.43061986,9.295275591,254,1
6.077,9,-42.66932271,1110.5,269,0.42259781,9.203187251,251,3
6.077,19,-43.262,1283,307,0.42313357,9.424,250,1
6.077,9,-41.88319672,1138.5,281,0.42221368,9.225409836,244,6
6.077,14,-42.7231405,1087.5,269,0.42301269,9.285123967,242,2
6.077,8,-43.11087866,1148,284,0.42361296,9.230125523,239,3
6.077,12,-42.57594937,1165.5,288,0.42590969,9.299578059,237,2
6.077,15,-42.46351931,1238.5,305,0.42026116,9.223175966,233,4
6.077,12,-41.85497835,1171.5,282,0.42036994,9.203463203,231,2
6.077,8,-41.94759825,1172.5,286,0.41704726,9.213973799,229,2
6.077,13,-42.18061674,1223.5,294,0.4144357,9.242290749,227,2
6.077,7,-41.69144144,1166,283,0.41610165,9.103603604,222,5
6.077,9,-42.07239819,1205.5,294,0.41371683,9.14479638,221,1
6.077,12,-41.62217195,1234,295,0.41494897,9.357466063,221,0
6.077,13,-41.54794521,1191.5,286,0.41499315,9.415525114,219,2
6.077,14,-41.68604651,1151.5,272,0.41382236,9.372093023,215,4
6.077,12,-41.64454976,1169,287,0.41248745,9.355450237,211,4
6.077,9,-41.66028708,1252,294,0.4148566,9.377990431,209,2
6.077,15,-41.1763285,1101,260,0.41247827,9.405797101,207,2
6.077,11,-42.14851485,1224,294,0.41220896,9.297029703,202,5
6.077,8,-40.93181818,1291,292,0.41058158,9.212121212,198,4
6.077,8,-40.42307692,1300,306,0.4102963,9.143589744,195,3
6.077,8,-40.05154639,1369.5,323,0.41004499,9.206185567,194,1
6.077,6,-39.45595855,1287,302,0.40730918,9.129533679,193,1
6.077,12,-40.08421053,1307,309,0.40728697,9.142105263,190,3
6.077,13,-39.5972973,1299,308,0.40459582,9.064864865,185,5
6.077,6,-39.78176796,1489,332,0.40944234,8.922651934,181,4
6.077,7,-38.46111111,1385.5,304,0.4141973,9.022222222,180,1
6.077,14,-39.10893855,1218.5,289,0.41372081,9.17877095,179,1
6.077,12,-40.22443182,1217.5,274,0.41103262,9.039772727,176,3
6.077,9,-40.01445087,1197,278,0.416786,9.046242775,173,3
6.077,12,-39.89244186,1241,299,0.41804468,9.052325581,172,1
6.077,13,-39.38392857,1316,296,0.41549974,8.869047619,168,4
6.077,14,-38.22121212,1276,301,0.41052127,8.939393939,165,3
6.077,15,-38.56441718,1292.5,287,0.40959807,9.079754601,163,2
6.077,13,-38.984375,1356.5,311,0.40476475,9.175,160,3
6.077,9,-37.90189873,1400,323,0.40493554,9.113924051,158,2
6.077,10,-37.06774194,1225.5,287,0.40275406,9.019354839,155,3
6.077,11,-38.70394737,1375.5,313,0.40040202,8.822368421,152,3
6.077,11,-37.44370861,1366,304,0.39738297,8.754966887,151,1
6.077,6,-37.13945578,1412,322,0.38432305,8.530612245,147,4
6.077,16,-37.47959184,1709.5,368,0.38648744,8.897959184,147,0
6.077,9,-34.18439716,1707,344,0.38519059,8.524822695,141,6
6.077,13,-33.83333333,1488.5,323,0.38213581,8.80141844,141,0
6.077,11,-35.15942029,1395,319,0.37540578,8.688405797,138,3
6.077,8,-36.83333333,1748.5,369,0.37046118,8.614814815,135,3
6.077,8,-33.6119403,1872.5,382,0.37224467,8.776119403,134,1
6.077,11,-31.70676692,1687,353,0.37131735,8.872180451,133,1
6.077,13,-33.57251908,1564.5,328,0.36649335,8.847328244,131,2
6.077,12,-34.44230769,1571,335,0.36748533,8.915384615,130,1
6.077,11,-33.70866142,1545,332,0.36929016,8.811023622,127,3
6.077,11,-33.98015873,1553,321,0.37170972,8.904761905,126,1
6.077,14,-34.82,1697,349,0.37114594,8.984,125,1
6.077,11,-33.23140496,1674,322,0.37193237,8.818181818,121,4
6.077,11,-33.27118644,1721.5,348,0.37560048,8.847457627,118,3
6.077,11,-30.73913043,1641.5,352,0.368998,8.808695652,115,3
6.077,13,-31.21052632,1673.5,359,0.36541223,8.921052632,114,1
6.077,10,-32.08636364,1823,352,0.35957984,8.472727273,110,4
6.077,7,-30.85909091,1826.5,357,0.36211308,8.590909091,110,0
6.077,14,-31.42592593,2131.5,393,0.35846616,8.685185185,108,2
6.077,11,-27.54716981,2072,366,0.35003589,8.537735849,106,2
6.077,10,-27.51980198,2060.5,400,0.33766673,8.079207921,101,5
6.077,13,-26.57291667,2089.5,383,0.33076986,7.458333333,96,5
6.077,15,-27.60526316,2428.5,420,0.33714709,7.642105263,95,2
6.077,11,-24.40217391,2510,417,0.34079975,7.456521739,92,3
6.077,13,-24.47777778,2792.5,461,0.33206713,7.422222222,90,2
