sheep.1,wolves.1,sheep.2,wolves.2,sheep.3,wolves.3,sheep.4,wolves.4,sheep.5,wolves.5,sheep.6,wolves.6,sheep.7,wolves.7,sheep.8,wolves.8,sheep.9,wolves.9,sheep.10,wolves.10
2062,0,1836,0,1447,3,2085,0,859,0,1758,0,696,0,1198,0,1791,0,1849,8
2145,0,1889,0,1501,3,2180,0,907,0,1816,0,722,0,1256,0,1855,0,1912,8
2223,0,1964,0,1564,3,2270,0,950,0,1885,0,752,0,1309,0,1946,0,1986,8
2319,0,2047,0,1626,3,2380,0,982,0,1948,0,779,0,1367,0,2039,0,2067,8
2429,0,2113,0,1684,3,2482,0,1026,0,2026,0,799,0,1425,0,2110,0,2148,8
2532,0,2212,0,1759,4,2590,0,1074,0,2110,0,844,0,1483,0,2189,0,2227,9
2632,0,2308,0,1825,4,2709,0,1119,0,2204,0,873,0,1539,0,2279,0,2314,9
2739,0,2393,0,1907,4,2820,0,1159,0,2282,0,913,0,1599,0,2365,0,2381,9
2860,0,2491,0,1984,4,2940,0,1217,0,2389,0,941,0,1666,0,2437,0,2466,9
2954,0,2590,0,2053,5,3058,0,1266,0,2473,0,992,0,1723,0,2530,0,2571,9
3076,0,2701,0,2131,5,3192,0,1314,0,2564,0,1031,0,1786,0,2619,0,2670,11
3209,0,2807,0,2195,5,3332,0,1357,0,2649,0,1078,0,1855,0,2733,0,2769,11
3360,0,2907,0,2289,6,3449,0,1405,0,2755,0,1124,0,1938,0,2851,0,2882,11
3474,0,3037,0,2383,7,3589,0,1456,0,2870,0,1172,0,2021,0,2965,0,2987,12
3612,0,3171,0,2456,7,3735,0,1507,0,2989,0,1212,0,2108,0,3078,0,3094,13
3776,0,3301,0,2538,7,3879,0,1572,0,3109,0,1268,0,2176,0,3193,0,3199,13
3933,0,3437,0,2629,7,4047,0,1627,0,3241,0,1326,0,2258,0,3329,0,3320,13
4106,0,3575,0,2730,7,4207,0,1698,0,3391,0,1386,0,2332,0,3468,0,3439,14
4272,0,3731,0,2840,7,4387,0,1769,0,3540,0,1439,0,2412,0,3596,0,3559,14
4432,0,3889,0,2937,7,4558,0,1846,0,3695,0,1504,0,2494,0,3745,0,3687,14
4613,0,4031,0,3048,7,4745,0,1932,0,3846,0,1559,0,2592,0,3918,0,3818,14
4795,0,4178,0,3163,7,4915,0,2012,0,3988,0,1630,0,2681,0,4082,0,3944,14
4971,0,4357,0,3283,7,5088,0,2082,0,4153,0,1682,0,2776,0,4240,0,4121,15
5159,0,4528,0,3413,7,5274,0,2160,0,4322,0,1735,0,2885,0,4404,0,4265,15
5360,0,4688,0,3540,7,5493,0,2240,0,4497,0,1796,0,2996,0,4578,0,4423,15
5580,0,4881,0,3677,7,5711,0,2330,0,4681,0,1863,0,3113,0,4765,0,4559,17
5807,0,5087,0,3802,7,5951,0,2441,0,4876,0,1935,0,3248,0,4971,0,4736,17
6035,0,5295,0,3977,7,6223,0,2526,0,5078,0,2029,0,3379,0,5177,0,4914,17
6264,0,5499,0,4136,7,6458,0,2652,0,5268,0,2093,0,3513,0,5404,0,5117,18
6514,0,5722,0,4286,8,6715,0,2750,0,5494,0,2186,0,3653,0,5615,0,5286,19
6750,0,5945,0,4472,8,7008,0,2875,0,5729,0,2263,0,3813,0,5827,0,5485,21
7025,0,6192,0,4631,8,7286,0,2989,0,5984,0,2347,0,3963,0,6064,0,5681,21
7319,0,6440,0,4825,9,7594,0,3114,0,6235,0,2444,0,4111,0,6324,0,5871,23
7616,0,6690,0,5002,9,7868,0,3244,0,6496,0,2558,0,4264,0,6608,0,6058,25
7886,0,6969,0,5199,9,8187,0,3404,0,6756,0,2649,0,4445,0,6867,0,6273,28
8195,0,7289,0,5388,11,8521,0,3555,0,7027,0,2747,0,4635,0,7153,0,6485,28
8536,0,7557,0,5595,11,8845,0,3689,0,7295,0,2846,0,4825,0,7444,0,6708,29
8865,0,7885,0,5792,11,9191,0,3849,0,7585,0,2941,0,5023,0,7753,0,6933,29
9198,0,8168,0,6018,11,9582,0,4001,0,7892,0,3047,0,5244,0,8053,0,7177,29
9576,0,8471,0,6259,11,9957,0,4164,0,8201,0,3162,0,5450,0,8381,0,7436,31
9975,0,8793,0,6527,11,10384,0,4317,0,8529,0,3287,0,5642,0,8718,0,7699,32
10389,0,9161,0,6790,11,10786,0,4508,0,8878,0,3410,0,5867,0,9043,0,7966,36
10788,0,9539,0,7049,11,11229,0,4692,0,9231,0,3564,0,6101,0,9408,0,8248,39
11191,0,9906,0,7325,11,11690,0,4882,0,9653,0,3683,0,6371,0,9779,0,8515,40
11617,0,10292,0,7598,12,12152,0,5057,0,10007,0,3833,0,6633,0,10187,0,8839,45
12105,0,10697,0,7896,12,12580,0,5253,0,10449,0,3977,0,6890,0,10620,0,9121,45
12622,0,11139,0,8248,13,13106,0,5481,0,10830,0,4116,0,7168,0,11043,0,9460,48
13169,0,11653,0,8533,13,13657,0,5711,0,11303,0,4284,0,7447,0,11511,0,9799,50
13699,0,12121,0,8879,13,14165,0,5943,0,11751,0,4465,0,7739,0,11981,0,10153,57
14222,0,12611,0,9237,13,14718,0,6173,0,12240,0,4651,0,8066,0,12465,0,10503,57
14805,0,13106,0,9593,13,15281,0,6406,0,12720,0,4821,0,8409,0,12979,0,10852,59
15365,0,13633,0,9945,13,15930,0,6661,0,13236,0,5022,0,8746,0,13494,0,11243,65
16001,0,14166,0,10322,13,16569,0,6928,0,13797,0,5225,0,9118,0,14042,0,11611,69
16634,0,14759,0,10717,13,17267,0,7207,0,14337,0,5412,0,9485,0,14573,0,12031,75
17260,0,15369,0,11097,13,17988,0,7497,0,14931,0,5639,0,9852,0,15136,0,12453,76
17916,0,16012,0,11510,14,18657,0,7831,0,15542,0,5862,0,10253,0,15748,0,12838,80
18626,0,16613,0,11944,14,19398,0,8111,0,16197,0,6082,0,10649,0,16391,0,13270,82
19383,0,17263,0,12423,16,20175,0,8404,0,16835,0,6308,0,11042,0,17003,0,13717,86
20156,0,17944,0,12913,16,20979,0,8767,0,17541,0,6544,0,11502,0,17676,0,14207,89
20945,0,18663,0,13440,18,21772,0,9142,0,18227,0,6798,0,11964,0,18314,0,14676,92
21753,0,19421,0,13939,20,22686,0,9551,0,18917,0,7075,0,12447,0,19031,0,15152,94
22650,0,20181,0,14480,22,23631,0,9915,0,19693,0,7334,0,12953,0,19742,0,15692,100
23555,0,21005,0,14989,23,24619,0,10327,0,20461,0,7629,0,13479,0,20487,0,16253,106
24492,0,21830,0,15531,24,25622,0,10728,0,21244,0,7929,0,14027,0,21290,0,16776,112
25508,0,22695,0,16154,25,26667,0,11174,0,22089,0,8252,0,14588,0,22168,0,17349,117
26486,0,23600,0,16801,26,27768,0,11611,0,22987,0,8573,0,15129,0,23068,0,17963,122
27579,0,24536,0,17424,27,28821,0,12073,0,23946,0,8916,0,15725,0,23947,0,18537,131
28671,0,25497,0,18146,28,29999,0,12581,0,24886,0,9264,0,16320,0,24896,0,19118,136
29846,0,26493,0,18848,29,31234,0,13091,0,25922,0,9664,0,16996,0,25830,0,19757,144
31043,0,27536,0,19589,31,32456,0,13628,0,26910,0,10015,0,17691,0,26908,0,20397,150
32320,0,28636,0,20351,33,33662,0,14184,0,27992,0,10384,0,18383,0,27977,0,21025,160
33628,0,29775,0,21105,35,34960,0,14735,0,29123,0,10797,0,19086,0,29067,0,21716,168
33628,0,29775,0,21105,35,34960,0,14735,0,29123,0,10797,0,19086,0,29067,0,21716,168
35010,0,31022,0,21970,36,36340,0,15369,0,30254,0,11212,0,19836,0,30235,0,22401,174
36358,0,32276,0,22764,37,37783,0,15981,0,31467,0,11667,0,20612,0,31501,0,23121,186
37795,0,33588,0,23681,38,39267,0,16633,0,32730,0,12143,0,21430,0,32775,0,23899,199
39302,0,34897,0,24620,44,40870,0,17297,0,34077,0,12645,0,22257,0,34070,0,24607,209
40811,0,36279,0,25580,45,42522,0,18003,0,35462,0,13165,0,23175,0,35487,0,25355,220
42412,0,37749,0,26616,49,44221,0,18705,0,36894,0,13714,0,24064,0,36898,0,26095,235
44178,0,39308,0,27665,50,45950,0,19464,0,38373,0,14258,0,25064,0,38352,0,26895,252
45922,0,40917,0,28760,51,47834,0,20261,0,39953,0,14864,0,26103,0,39894,0,27686,269
47709,0,42519,0,29802,52,49696,0,21034,0,41565,0,15413,0,27062,0,41417,0,28557,282
49554,0,44236,0,30948,54,51668,0,21878,0,43155,0,16005,0,28187,0,43092,0,29415,291
51487,0,45967,0,32172,55,53767,0,22728,0,44864,0,16611,0,29386,0,44863,0,30319,305
53544,0,47799,0,33366,56,55897,0,23664,0,46683,0,17264,0,30574,0,46641,0,31308,317
55699,0,49747,0,34713,58,58133,0,24645,0,48498,0,17984,0,31750,0,48536,0,,
57922,0,51725,0,36048,63,60393,0,25638,0,50416,0,18703,0,33034,0,50528,0,,
60282,0,53838,0,37376,65,62815,0,26586,0,52325,0,19427,0,34349,0,52537,0,x max,current pen
62664,0,55957,0,38812,70,65261,0,27724,0,54445,0,20189,0,35717,0,54668,0,100,"""wolfStock"""
65249,0,58211,0,40372,73,67847,0,28817,0,56597,0,20979,0,37131,0,56777,0,,
67870,0,60620,0,41885,78,70488,0,30004,0,58881,0,21824,0,38596,0,59041,0,pen down?,x
70602,0,63034,0,43515,80,73298,0,31189,0,61206,0,22672,0,40152,0,61389,0,TRUE,0
73372,0,65579,0,45171,84,76212,0,32378,0,63720,0,23564,0,41814,0,63908,0,TRUE,0
76300,0,68182,0,46863,85,79310,0,33640,0,66295,0,24449,0,43521,0,66529,0,,
79449,0,70943,0,48648,90,82437,0,34904,0,68962,0,25421,0,45284,0,69137,0,,
82678,0,73780,0,50575,96,85830,0,36362,0,71736,0,26419,0,47128,0,71903,0,y,y
85937,0,76689,0,52479,101,89232,0,37791,0,74529,0,27501,0,49063,0,74706,0,,
89415,0,,,54553,106,92913,0,39327,0,77535,0,28557,0,51040,0,77841,0,,
92966,0,,,56681,113,96662,0,40842,0,80551,0,29714,0,53127,0,80933,0,,
96709,0,x max,current pen,58815,116,100653,0,42424,0,83744,0,30871,0,55251,0,84144,0,,
100568,0,100,"""wolfStock""",61048,129,104577,0,44071,0,87140,0,32112,0,57468,0,87438,0,,
104457,0,,,63369,138,108741,0,45813,0,90552,0,33350,0,59796,0,90916,0,,
108700,0,pen down?,x,65774,145,113227,0,47663,0,94295,0,34706,0,62208,0,94440,0,,
113013,0,TRUE,0,68204,150,117875,0,49569,0,98115,0,36106,0,64723,0,98141,0,,
117517,0,TRUE,0,70767,153,122478,0,51505,0,102071,0,37454,0,67322,0,101978,0,,
122147,0,,,73515,165,127304,0,53591,0,106223,0,39007,0,70005,0,106008,0,,
126962,0,,,76320,175,132289,0,55751,0,110476,0,40533,0,72763,0,110217,0,,
132165,0,y,y,79315,185,137581,0,58035,0,114906,0,42141,0,75701,0,114726,0,,
137438,0,,,82336,196,143030,0,60321,0,119486,0,43770,0,78792,0,119433,0,,
142720,0,,,85324,209,148705,0,62696,0,124240,0,45546,0,81899,0,124270,0,,
148307,0,,,88527,215,154781,0,65160,0,129198,0,47378,0,85146,0,129257,0,,
154290,0,,,91797,231,161077,0,67868,0,134474,0,49319,0,88504,0,134431,0,,
160472,0,,,95304,240,167413,0,70579,0,139852,0,51321,0,92006,0,139730,0,,
166807,0,,,98910,255,174114,0,73381,0,145520,0,53342,0,95752,0,145374,0,,
173485,0,,,102585,266,181088,0,76330,0,151364,0,55498,0,99556,0,151232,0,,
180408,0,,,106496,282,188268,0,79452,0,157433,0,57770,0,103648,0,157228,0,,
187630,0,,,110397,299,195763,0,82659,0,163859,0,60017,0,107820,0,163622,0,,
195114,0,,,114560,313,203491,0,86039,0,170513,0,62482,0,112004,0,170216,0,,
202867,0,,,118801,328,211599,0,89659,0,177407,0,64915,0,116563,0,177174,0,,
211075,0,,,123277,350,219994,0,93347,0,184545,0,67457,0,121308,0,184366,0,,
219445,0,,,127874,360,228718,0,97055,0,191949,0,70241,0,126041,0,191683,0,,
228149,0,,,132696,384,237817,0,100963,0,199790,0,73031,0,131100,0,199425,0,,
237560,0,,,137730,402,247191,0,104989,0,207787,0,75933,0,136297,0,207488,0,,
246897,0,,,142820,414,257113,0,109095,0,216139,0,78938,0,141725,0,215943,0,,
256766,0,,,148187,439,267527,0,113440,0,224756,0,82096,0,147418,0,224674,0,,
266979,0,,,153602,465,278323,0,117977,0,233807,0,85342,0,153212,0,233625,0,,
277727,0,,,159238,482,289478,0,122740,0,243251,0,88728,0,159358,0,242957,0,,
288716,0,,,165031,507,300845,0,127754,0,252874,0,92250,0,165849,0,252606,0,,
300198,0,,,171175,525,,,132885,0,262961,0,96032,0,172403,0,262528,0,,
312259,0,,,177456,551,,,138186,0,273513,0,99961,0,179183,0,273000,0,,
324725,0,,,183973,580,x max,current pen,143714,0,284440,0,104138,0,186291,0,284007,0,,
337554,0,,,190690,607,100,"""wolfStock""",149347,0,295727,0,108257,0,193798,0,295398,0,,
,,,,197691,628,,,155321,0,,,112682,0,201556,0,,,,
,,,,204933,654,pen down?,x,161609,0,,,117112,0,209666,0,,,,
x max,current pen,,,212703,691,TRUE,0,168034,0,x max,current pen,121739,0,218057,0,x max,current pen,,
100,"""wolfStock""",,,220547,728,TRUE,0,174617,0,100,"""wolfStock""",126677,0,226850,0,100,"""wolfStock""",,
,,,,228644,756,,,181608,0,,,131654,0,236029,0,,,,
pen down?,x,,,237175,794,,,188946,0,pen down?,x,136908,0,245351,0,pen down?,x,,
TRUE,0,,,245676,837,y,y,196553,0,TRUE,0,142435,0,,,TRUE,0,,
