Ticks,GreenPatches,K,TotalBM,k.i,Payoffs,beta.i,highMinCut,lowMinCut
1262,1216,10.13,13483,16.17,7.86,0.593906471126786,73,19
1263,1248,10.13,13543,16.27,4.56,0.593660935617849,74,19
1264,1257,10.13,13725.5,16.19,4.605,0.593360689498131,73,19
1265,1278,10.13,14106.5,16.16,3.535,0.593360689498131,72,19
1266,1250,10.13,14120.5,16.49,5.875,0.596620979656882,75,18
1267,1263,10.13,14154.5,16.57,5.32,0.601693633437591,75,18
1268,1238,10.13,14007.5,16.62,6.8,0.602419053301496,75,17
1269,1217,10.13,13872.5,16.71,5.075,0.602419053301495,75,17
1270,1209,10.13,13303,16.57,8.305,0.605138527905091,74,17
1271,1211,10.13,13289.5,16.55,3.6,0.599583936886931,75,18
1272,1196,10.13,13404.5,16.49,1.85,0.599829472395868,75,19
1273,1197,10.13,13173.5,16.36,5.795,0.600254646140055,74,19
1274,1224,10.13,13145.5,16.4,4.92,0.600254646140055,76,18
1275,1254,10.13,13284.5,16.47,4.74,0.605272589309982,76,17
1276,1244,10.13,13301,16.37,7.03,0.608292310033296,75,17
1277,1251,10.13,13582.5,16.25,5.74,0.604881701560086,75,18
1278,1271,10.13,13793.5,16.36,6.045,0.609654109221076,75,18
1279,1260,10.13,14021,16.29,4.73,0.604636166051149,74,18
1280,1260,10.13,14087,16.3,5.44,0.604936412170867,74,18
1281,1251,10.13,13878.5,16.24,7.92,0.599381821152707,74,19
1282,1263,10.13,13882,16.21,6.17,0.599436531763489,74,20
1283,1235,10.13,13811,16.06,6.77,0.59436387798278,73,21
1284,1224,10.13,13530,16.31,8.555,0.599436531763488,75,20
1285,1243,10.13,13803.5,16.3,3.205,0.594664124102498,75,21
1286,1262,10.13,13715,16.16,6.975,0.594664124102499,74,21
1287,1287,10.13,13887,16.01,6.01,0.594238950358311,74,22
1288,1270,10.13,13998,15.88,6.395,0.591464765143935,73,21
1289,1236,10.13,13874.5,15.98,8.455,0.593999635438781,74,20
1290,1227,10.13,14071.5,16.17,3.37,0.596237172804925,75,19
1291,1228,10.13,13949,16.34,5.015,0.601009580465914,76,18
1292,1228,10.13,13419,16.19,9.045,0.595454989447754,75,19
1293,1196,10.13,13103.5,16.07,7.34,0.595029815703567,74,19
1294,1199,10.13,12905,15.95,7.215,0.595330061823285,73,19
1295,1226,10.13,13029.5,15.83,4.99,0.595275351212505,72,20
1296,1220,10.13,13063.5,15.9,5.945,0.595275351212504,72,20
1297,1219,10.13,13332,16.04,3.56,0.598110467627069,73,20
1298,1226,10.13,13472,15.99,4.96,0.597385047763164,72,20
1299,1265,10.13,13743,15.88,4.43,0.593974439289954,71,20
1300,1270,10.13,13955,15.84,5.275,0.590864076936463,73,21
1301,1284,10.13,14318,15.88,4.335,0.5911096124454,72,20
1302,1307,10.13,14483.5,16.08,7.425,0.589447567137901,73,20
1303,1295,10.13,14647,16.09,6.02,0.589202031628964,73,20
1304,1247,10.13,14390.5,16.01,7.895,0.58992745149287,73,20
1305,1265,10.13,13892,15.92,11.05,0.589627205373151,72,20
