sheep.1,wolves.1,sheep.2,wolves.2,sheep.3,wolves.3,sheep.4,wolves.4,sheep.5,wolves.5,sheep.6,wolves.6,sheep.7,wolves.7,sheep.8,wolves.8,sheep.9,wolves.9,sheep.10,wolves.10
1341,43,1421,6,1271,22,2048,0,794,67,899,0,1541,14,970,17,1030,23,904,0
1355,48,1475,8,1306,21,2123,0,807,68,939,0,1585,15,1003,17,1086,25,942,0
1386,51,1530,9,1356,21,2212,0,823,74,980,0,1651,16,1031,18,1116,25,972,0
1431,52,1584,9,1384,24,2297,0,828,77,1021,0,1696,17,1055,18,1141,27,1010,0
1456,54,1649,9,1429,25,2402,0,834,81,1063,0,1749,17,1091,19,1177,27,1048,0
1489,55,1706,9,1465,25,2489,0,850,82,1102,0,1803,18,1125,22,1213,28,1091,0
1520,57,1759,9,1518,26,2571,0,864,86,1140,0,1863,18,1158,23,1251,29,1135,0
1559,61,1822,10,1570,28,2656,0,891,91,1178,0,1912,21,1196,24,1291,31,1184,0
1590,66,1899,11,1615,28,2760,0,898,95,1225,0,1968,21,1239,26,1331,33,1242,0
1626,68,1964,12,1650,28,2877,0,886,101,1273,0,2014,22,1291,28,1362,35,1297,0
1656,71,2026,12,1702,30,2987,0,893,107,1314,0,2073,23,1318,29,1402,37,1351,0
1684,72,2097,12,1744,30,3102,0,902,111,1381,0,2150,24,1366,31,1432,37,1409,0
1687,76,2161,13,1806,31,3213,0,906,122,1431,0,2219,24,1419,32,1484,39,1459,0
1696,84,2241,13,1868,33,3335,0,895,128,1481,0,2289,25,1454,35,1515,41,1519,0
1701,95,2319,13,1936,37,3454,0,885,132,1537,0,2361,25,1482,37,1557,44,1578,0
1714,100,2411,15,2004,39,3579,0,881,139,1593,0,2434,28,1520,40,1596,49,1650,0
1729,108,2491,17,2056,40,3721,0,880,145,1657,0,2511,28,1567,43,1632,52,1717,0
1743,111,2572,17,2102,40,3881,0,854,156,1724,0,2586,30,1611,45,1678,56,1793,0
1752,117,2665,17,2155,42,4025,0,842,161,1796,0,2657,33,1656,46,1714,59,1856,0
1759,121,2764,18,2203,43,4190,0,831,168,1860,0,2757,33,1703,49,1737,61,1922,0
1747,127,2881,19,2249,43,4346,0,813,173,1940,0,2829,34,1736,54,1779,63,1993,0
1750,134,2978,19,2324,44,4544,0,799,183,2025,0,2928,39,1771,58,1806,67,2062,0
1725,138,3085,22,2368,44,4721,0,779,193,2102,0,3021,40,1804,63,1835,72,2151,0
1711,144,3196,22,2422,48,4911,0,742,200,2174,0,3117,45,1845,69,1869,76,2234,0
1709,150,3310,23,2484,49,5108,0,705,206,2265,0,3212,46,1876,70,1900,81,2318,0
