"","variableValue","K","unsatisfied","Payoffs","TotalBM","GreenPatches","beta.i","k.i","numLoggers","numCheaters","param","depleted","lowK"
"180","20",11.73,48,-11.85,0.115325537607769,0.26797385620915,0.436622740472862,14.94,1,8,"mtg",FALSE,FALSE
"181","20",12.65,40,-4.435,0.145626254864537,0.307958477508651,0.639179650387347,16.92,1,17,"mtg",FALSE,FALSE
"182","20",12.66,47,-7.035,0.154330826318673,0.321030372933487,0.547291157751982,15.61,1,11,"mtg",FALSE,FALSE
"183","20",13.11,48,-4.455,0.152513409005863,0.314109957708574,0.513408106495219,16.63,1,14,"mtg",FALSE,FALSE
"184","20",12.7,44,-7.875,0.14472807991121,0.309496347558631,0.4676511865024,12.86,1,6,"mtg",FALSE,FALSE
"185","20",12.76,48,-4.34,0.149654728609262,0.314109957708574,0.504704877065821,14.85,1,11,"mtg",FALSE,FALSE
"186","20",13.45,57,-3.065,0.165619589413802,0.32718185313341,0.455818486876757,13.9,1,17,"mtg",FALSE,FALSE
"187","20",11.03,31,-11.445,0.110297397769517,0.256055363321799,0.48999684721721,16.26,1,10,"mtg",FALSE,FALSE
"188","20",13.18,39,-3.28,0.148884171027945,0.312572087658593,0.47076418651338,14.31,1,16,"mtg",FALSE,FALSE
"189","20",12.27,39,-6.875,0.135521696915378,0.290657439446367,0.447299642406549,13.78,1,11,"mtg",FALSE,FALSE
"190","20",7.8,26,-26.965,0.0519122288213514,0.150711264898116,0.563447684292414,16.36,1,4,"mtg",TRUE,TRUE
"191","20",12.73,34,-2.115,0.151426526482057,0.314878892733564,0.36758805693839,13.72,1,7,"mtg",FALSE,FALSE
"192","20",8.02,35,-20.58,0.0569321606798755,0.161091887735486,0.46503170842904,17.41,1,10,"mtg",TRUE,TRUE
"193","20",12.41,47,-8.86,0.132827933623074,0.2879661668589,0.448813950966809,17.16,1,10,"mtg",FALSE,FALSE
"194","20",12.62,42,-6.24,0.136869646780046,0.295655517108804,0.511815893115211,15.47,1,13,"mtg",FALSE,FALSE
"195","20",11.77,45,-7.23,0.128035538005923,0.289119569396386,0.510584238762013,15.73,1,19,"mtg",FALSE,FALSE
"196","20",7.82,29,-28.615,0.050498892731842,0.149173394848135,0.463716098478742,17.87,1,3,"mtg",TRUE,TRUE
"197","20",13.2,46,-3.88,0.154757175489125,0.310649750096117,0.456209637862162,13.7,1,12,"mtg",FALSE,FALSE
"198","20",9.82,36,-17.17,0.0803025786257266,0.2079969242599,0.487323806329621,16.42,1,12,"mtg",TRUE,TRUE
"199","20",7.87,21,-24.46,0.0482833411381954,0.152249134948097,0.503835720234193,15.81,1,5,"mtg",TRUE,TRUE
"200","20",12.66,43,-5.24,0.137683491348367,0.291810841983852,0.515417962672452,15.42,1,13,"mtg",FALSE,FALSE
"201","25",13.3,42,-4.545,0.11840816689913,0.302575932333718,0.473654658135235,14.97,1,9,"mtg",FALSE,FALSE
"202","25",11.33,43,-10.175,0.0840840248246194,0.247597078046905,0.473368692303416,16.73,1,12,"mtg",TRUE,FALSE
"203","25",12.16,34,-3.125,0.107961345585108,0.296424452133795,0.536377046012431,18.13,1,14,"mtg",FALSE,FALSE
"204","25",13.43,50,-1.225,0.143496027466384,0.352941176470588,0.488829712711592,17.09,1,10,"mtg",FALSE,FALSE
"205","25",12.97,34,-1.98,0.112091609361627,0.289504036908881,0.444650712227063,17.7,1,16,"mtg",FALSE,FALSE
"206","25",14.96,44,4.655,0.166911351745475,0.372549019607843,0.588726763285378,21.24,1,15,"mtg",FALSE,FALSE
"207","25",12.95,42,-6.72,0.112270405390718,0.302575932333718,0.567500167249161,21.15,1,13,"mtg",FALSE,FALSE
"208","25",13.78,46,-4.01,0.131995474890561,0.325259515570934,0.498291439034503,17.96,1,13,"mtg",FALSE,FALSE
"209","25",14.46,38,-0.03,0.152312654744173,0.366782006920415,0.48829312246559,17.41,1,9,"mtg",FALSE,FALSE
"210","25",11.77,48,-8.265,0.105739973018483,0.285659361783929,0.467801004853982,17.24,1,14,"mtg",FALSE,FALSE
"211","25",13.12,37,1.985,0.126175292896337,0.32641291810842,0.559617989217429,18.57,1,20,"mtg",FALSE,FALSE
"212","25",13.6,38,-1.64,0.138038417051397,0.329488658208381,0.471659991876429,15.17,1,10,"mtg",FALSE,FALSE
"213","25",14.93,36,4.035,0.15247021257724,0.357170319108035,0.430062360701567,13.99,1,14,"mtg",FALSE,FALSE
